"","NEGERI","variable","value"
"1","PERLIS","Week 1",3.6
"2","KEDAH","Week 1",13
"3","PULAU PINANG","Week 1",52.4
"4","PERAK","Week 1",96
"5","SELANGOR","Week 1",525.4
"6","WPKL/PUTRAJAYA","Week 1",64.2
"7","N.SEMBILAN","Week 1",17.8
"8","MELAKA","Week 1",25
"9","JOHOR","Week 1",64
"10","PAHANG","Week 1",36
"11","TERENGGANU","Week 1",21.2
"12","KELANTAN","Week 1",21.6
"13","SARAWAK","Week 1",47
"14","SABAH","Week 1",28.2
"15","LABUAN","Week 1",0.4
"16","PERLIS","Week 2",6
"17","KEDAH","Week 2",22.4
"18","PULAU PINANG","Week 2",48.2
"19","PERAK","Week 2",147.6
"20","SELANGOR","Week 2",646.6
"21","WPKL/PUTRAJAYA","Week 2",95.2
"22","N.SEMBILAN","Week 2",35
"23","MELAKA","Week 2",35.4
"24","JOHOR","Week 2",104
"25","PAHANG","Week 2",30.6
"26","TERENGGANU","Week 2",25
"27","KELANTAN","Week 2",36.2
"28","SARAWAK","Week 2",43.4
"29","SABAH","Week 2",29.2
"30","LABUAN","Week 2",0.2
"31","PERLIS","Week 3",5
"32","KEDAH","Week 3",18.4
"33","PULAU PINANG","Week 3",55.8
"34","PERAK","Week 3",121.4
"35","SELANGOR","Week 3",665.8
"36","WPKL/PUTRAJAYA","Week 3",106.8
"37","N.SEMBILAN","Week 3",39.4
"38","MELAKA","Week 3",38.8
"39","JOHOR","Week 3",97.8
"40","PAHANG","Week 3",31.8
"41","TERENGGANU","Week 3",23.6
"42","KELANTAN","Week 3",48
"43","SARAWAK","Week 3",36.6
"44","SABAH","Week 3",31.6
"45","LABUAN","Week 3",0.2
"46","PERLIS","Week 4",7.2
"47","KEDAH","Week 4",15.8
"48","PULAU PINANG","Week 4",67.6
"49","PERAK","Week 4",119.2
"50","SELANGOR","Week 4",766
"51","WPKL/PUTRAJAYA","Week 4",106
"52","N.SEMBILAN","Week 4",50.8
"53","MELAKA","Week 4",37
"54","JOHOR","Week 4",101.2
"55","PAHANG","Week 4",32.6
"56","TERENGGANU","Week 4",27.8
"57","KELANTAN","Week 4",41.8
"58","SARAWAK","Week 4",38
"59","SABAH","Week 4",34
"60","LABUAN","Week 4",0.8
"61","PERLIS","Week 5",6
"62","KEDAH","Week 5",19.25
"63","PULAU PINANG","Week 5",50.25
"64","PERAK","Week 5",105.5
"65","SELANGOR","Week 5",583.5
"66","WPKL/PUTRAJAYA","Week 5",61.75
"67","N.SEMBILAN","Week 5",17.25
"68","MELAKA","Week 5",20.75
"69","JOHOR","Week 5",73.75
"70","PAHANG","Week 5",40.5
"71","TERENGGANU","Week 5",21.25
"72","KELANTAN","Week 5",32
"73","SARAWAK","Week 5",38
"74","SABAH","Week 5",33.75
"75","LABUAN","Week 5",0.25
"76","PERLIS","Week 6",5.2
"77","KEDAH","Week 6",19.2
"78","PULAU PINANG","Week 6",55.6
"79","PERAK","Week 6",112.4
"80","SELANGOR","Week 6",786
"81","WPKL/PUTRAJAYA","Week 6",95.4
"82","N.SEMBILAN","Week 6",37.6
"83","MELAKA","Week 6",32.4
"84","JOHOR","Week 6",75.8
"85","PAHANG","Week 6",25.2
"86","TERENGGANU","Week 6",24.6
"87","KELANTAN","Week 6",44.8
"88","SARAWAK","Week 6",34.2
"89","SABAH","Week 6",32.6
"90","LABUAN","Week 6",0.2
"91","PERLIS","Week 7",4.2
"92","KEDAH","Week 7",13.8
"93","PULAU PINANG","Week 7",45.2
"94","PERAK","Week 7",95
"95","SELANGOR","Week 7",767.2
"96","WPKL/PUTRAJAYA","Week 7",83.4
"97","N.SEMBILAN","Week 7",39.2
"98","MELAKA","Week 7",30.8
"99","JOHOR","Week 7",76.6
"100","PAHANG","Week 7",30.6
"101","TERENGGANU","Week 7",21
"102","KELANTAN","Week 7",51.8
"103","SARAWAK","Week 7",35.2
"104","SABAH","Week 7",33.4
"105","LABUAN","Week 7",0
"106","PERLIS","Week 8",2.6
"107","KEDAH","Week 8",12
"108","PULAU PINANG","Week 8",27
"109","PERAK","Week 8",65
"110","SELANGOR","Week 8",532.6
"111","WPKL/PUTRAJAYA","Week 8",82.6
"112","N.SEMBILAN","Week 8",57.6
"113","MELAKA","Week 8",25.4
"114","JOHOR","Week 8",56.8
"115","PAHANG","Week 8",25
"116","TERENGGANU","Week 8",18
"117","KELANTAN","Week 8",44.6
"118","SARAWAK","Week 8",47.8
"119","SABAH","Week 8",22.4
"120","LABUAN","Week 8",0.2
"121","PERLIS","Week 9",2.8
"122","KEDAH","Week 9",13.2
"123","PULAU PINANG","Week 9",21.6
"124","PERAK","Week 9",61.8
"125","SELANGOR","Week 9",446
"126","WPKL/PUTRAJAYA","Week 9",93
"127","N.SEMBILAN","Week 9",35.6
"128","MELAKA","Week 9",23.4
"129","JOHOR","Week 9",52
"130","PAHANG","Week 9",23.2
"131","TERENGGANU","Week 9",15.8
"132","KELANTAN","Week 9",52
"133","SARAWAK","Week 9",42.2
"134","SABAH","Week 9",20.6
"135","LABUAN","Week 9",0.6
"136","PERLIS","Week 10",2.6
"137","KEDAH","Week 10",9.8
"138","PULAU PINANG","Week 10",27.6
"139","PERAK","Week 10",55
"140","SELANGOR","Week 10",366
"141","WPKL/PUTRAJAYA","Week 10",91.4
"142","N.SEMBILAN","Week 10",23.8
"143","MELAKA","Week 10",18.2
"144","JOHOR","Week 10",55.8
"145","PAHANG","Week 10",23.6
"146","TERENGGANU","Week 10",10.8
"147","KELANTAN","Week 10",49.8
"148","SARAWAK","Week 10",38.8
"149","SABAH","Week 10",19.8
"150","LABUAN","Week 10",0
"151","PERLIS","Week 11",2.8
"152","KEDAH","Week 11",9.4
"153","PULAU PINANG","Week 11",23.4
"154","PERAK","Week 11",54.2
"155","SELANGOR","Week 11",412.6
"156","WPKL/PUTRAJAYA","Week 11",84.4
