"","NEGERI","variable","value","daily","Month","Year"
"1","MELAKA","Minggu.1",NA,2010-01-08,2010-01-01,2010-01-01
"2","MELAKA","Minggu.2",NA,2010-01-15,2010-01-01,2010-01-01
"3","MELAKA","Minggu.3",NA,2010-01-22,2010-01-01,2010-01-01
"4","MELAKA","Minggu.4",NA,2010-01-29,2010-01-01,2010-01-01
"5","MELAKA","Minggu.5",NA,2010-02-05,2010-02-01,2010-01-01
"6","MELAKA","Minggu.6",NA,2010-02-12,2010-02-01,2010-01-01
"7","MELAKA","Minggu.7",NA,2010-02-19,2010-02-01,2010-01-01
"8","MELAKA","Minggu.8",7,2010-02-26,2010-02-01,2010-01-01
"9","MELAKA","Minggu.9",4,2010-03-05,2010-03-01,2010-01-01
"10","MELAKA","Minggu.10",10,2010-03-12,2010-03-01,2010-01-01
"11","MELAKA","Minggu.11",11,2010-03-19,2010-03-01,2010-01-01
"12","MELAKA","Minggu.12",6,2010-03-26,2010-03-01,2010-01-01
"13","MELAKA","Minggu.13",11,2010-04-02,2010-04-01,2010-01-01
"14","MELAKA","Minggu.14",12,2010-04-09,2010-04-01,2010-01-01
"15","MELAKA","Minggu.15",11,2010-04-16,2010-04-01,2010-01-01
"16","MELAKA","Minggu.16",18,2010-04-23,2010-04-01,2010-01-01
"17","MELAKA","Minggu.17",16,2010-04-30,2010-04-01,2010-01-01
"18","MELAKA","Minggu.18",10,2010-05-07,2010-05-01,2010-01-01
"19","MELAKA","Minggu.19",15,2010-05-14,2010-05-01,2010-01-01
"20","MELAKA","Minggu.20",18,2010-05-21,2010-05-01,2010-01-01
"21","MELAKA","Minggu.21",17,2010-05-28,2010-05-01,2010-01-01
"22","MELAKA","Minggu.22",14,2010-06-04,2010-06-01,2010-01-01
"23","MELAKA","Minggu.23",13,2010-06-11,2010-06-01,2010-01-01
"24","MELAKA","Minggu.24",13,2010-06-18,2010-06-01,2010-01-01
"25","MELAKA","Minggu.25",31,2010-06-25,2010-06-01,2010-01-01
"26","MELAKA","Minggu.26",25,2010-07-02,2010-07-01,2010-01-01
"27","MELAKA","Minggu.27",20,2010-07-09,2010-07-01,2010-01-01
"28","MELAKA","Minggu.28",26,2010-07-16,2010-07-01,2010-01-01
"29","MELAKA","Minggu.29",18,2010-07-23,2010-07-01,2010-01-01
"30","MELAKA","Minggu.30",16,2010-07-30,2010-07-01,2010-01-01
"31","MELAKA","Minggu.31.",71,2010-08-06,2010-08-01,2010-01-01
"32","MELAKA","Minggu.32",80,2010-08-13,2010-08-01,2010-01-01
"33","MELAKA","Minggu.33",98,2010-08-20,2010-08-01,2010-01-01
"34","MELAKA","Minggu.34",84,2010-08-27,2010-08-01,2010-01-01
"35","MELAKA","Minggu.35",43,2010-09-03,2010-09-01,2010-01-01
"36","MELAKA","Minggu.36",36,2010-09-10,2010-09-01,2010-01-01
"37","MELAKA","Minggu.37",46,2010-09-17,2010-09-01,2010-01-01
"38","MELAKA","Minggu.38",62,2010-09-24,2010-09-01,2010-01-01
"39","MELAKA","Minggu.39",63,2010-10-01,2010-10-01,2010-01-01
"40","MELAKA","Minggu.40",66,2010-10-08,2010-10-01,2010-01-01
"41","MELAKA","Minggu.41",61,2010-10-15,2010-10-01,2010-01-01
"42","MELAKA","Minggu.42",53,2010-10-22,2010-10-01,2010-01-01
"43","MELAKA","Minggu.43",53,2010-10-29,2010-10-01,2010-01-01
"44","MELAKA","Minggu.44",42,2010-11-05,2010-11-01,2010-01-01
"45","MELAKA","Minggu.45",39,2010-11-12,2010-11-01,2010-01-01
"46","MELAKA","Minggu.46",40,2010-11-19,2010-11-01,2010-01-01
"47","MELAKA","Minggu.47",32,2010-11-26,2010-11-01,2010-01-01
"48","MELAKA","Minggu.48",31,2010-12-03,2010-12-01,2010-01-01
"49","MELAKA","Minggu.49",28,2010-12-10,2010-12-01,2010-01-01
"50","MELAKA","Minggu.50",17,2010-12-17,2010-12-01,2010-01-01
"51","MELAKA","Minggu.51",23,2010-12-24,2010-12-01,2010-01-01
"52","MELAKA","Minggu.52",8,2010-12-31,2010-12-01,2010-01-01
"53","MELAKA","Minggu.1.1",19,2011-01-07,2011-01-01,2011-01-01
"54","MELAKA","Minggu.2.1",21,2011-01-14,2011-01-01,2011-01-01
"55","MELAKA","Minggu.3.1",8,2011-01-21,2011-01-01,2011-01-01
"56","MELAKA","Minggu.4.1",10,2011-01-28,2011-01-01,2011-01-01
"57","MELAKA","Minggu.5.1",3,2011-02-04,2011-02-01,2011-01-01
"58","MELAKA","Minggu.6.1",6,2011-02-11,2011-02-01,2011-01-01
"59","MELAKA","Minggu.7.1",13,2011-02-18,2011-02-01,2011-01-01
"60","MELAKA","Minggu.8.1",12,2011-02-25,2011-02-01,2011-01-01
"61","MELAKA","Minggu.9.1",19,2011-03-04,2011-03-01,2011-01-01
"62","MELAKA","Minggu.10.1",12,2011-03-11,2011-03-01,2011-01-01
"63","MELAKA","Minggu.11.1",7,2011-03-18,2011-03-01,2011-01-01
"64","MELAKA","Minggu.12.1",7,2011-03-25,2011-03-01,2011-01-01
"65","MELAKA","Minggu.13.1",4,2011-04-01,2011-04-01,2011-01-01
"66","MELAKA","Minggu.14.1",7,2011-04-08,2011-04-01,2011-01-01
"67","MELAKA","Minggu.15.1",5,2011-04-15,2011-04-01,2011-01-01
"68","MELAKA","Minggu.16.1",1,2011-04-22,2011-04-01,2011-01-01
"69","MELAKA","Minggu.17.1",8,2011-04-29,2011-04-01,2011-01-01
"70","MELAKA","Minggu.18.1",7,2011-05-06,2011-05-01,2011-01-01
"71","MELAKA","Minggu.19.1",8,2011-05-13,2011-05-01,2011-01-01
"72","MELAKA","Minggu.20.1",4,2011-05-20,2011-05-01,2011-01-01
"73","MELAKA","Minggu.21.1",12,2011-05-27,2011-05-01,2011-01-01
